vector,geo,dguid,gender,age_group,indicators,coordinate,value
v1792535555,Canada (excluding territories),"",Women+,45 to 64 years,Consulted a medical specialist for an initial consultation in the past 12 months,1.3.3.11.4,37.7
v1792535562,Canada (excluding territories),"",Women+,45 to 64 years,Experienced difficulties getting specialist care in the past 12 months,1.3.3.12.4,33.4
v1792535569,Canada (excluding territories),"",Women+,45 to 64 years,Level of coordination between health care providers in the past 12 months - Very good or excellent,1.3.3.13.4,54.0
v1792535576,Canada (excluding territories),"",Women+,45 to 64 years,Level of coordination between health care providers in the past 12 months - Fair or poor,1.3.3.14.4,21.6
v1792535583,Canada (excluding territories),"",Women+,45 to 64 years,Experienced discrimination in a health care setting in the past 12 months,1.3.3.15.4,8.1
v1792535590,Canada (excluding territories),"",Women+,45 to 64 years,Had unmet health care needs in the past 12 months,1.3.3.16.4,23.1
v1792535597,Canada (excluding territories),"",Women+,45 to 64 years,"Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",1.3.3.17.4,12.8
v1792535604,Canada (excluding territories),"",Women+,45 to 64 years,Has insurance that covers all or part of the cost of prescription medications,1.3.3.18.4,79.5
v1792535611,Canada (excluding territories),"",Women+,65 years and over,Has at least one chronic condition,1.3.4.1.4,78.6
v1792535618,Canada (excluding territories),"",Women+,65 years and over,Perceived health - Very good or excellent,1.3.4.2.4,40.6
v1792535625,Canada (excluding territories),"",Women+,65 years and over,Perceived health - Fair or poor,1.3.4.3.4,21.0
v1792535632,Canada (excluding territories),"",Women+,65 years and over,Perceived mental health - Very good or excellent,1.3.4.4.4,60.3
v1792535639,Canada (excluding territories),"",Women+,65 years and over,Perceived mental health - Fair or poor,1.3.4.5.4,9.9
v1792535646,Canada (excluding territories),"",Women+,65 years and over,Has a regular health care provider,1.3.4.6.4,89.8
v1792535653,Canada (excluding territories),"",Women+,65 years and over,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,1.3.4.7.4,82.7
v1792535660,Canada (excluding territories),"",Women+,65 years and over,Quality of consultation in the past 12 months - Very good or excellent,1.3.4.8.4,77.9
